"ID";"Name";"LatinName";"Photo";"LandscapingZone";"ProsperityPeriod";"Description";"LocationPlace";"ViewForm";"global_id";
"83";"Лисохвост луговой";"Alopecurus pratensis";"942e0361-9bce-49de-97bb-5235b94489c8";"Луг";"Июнь";"Своё название лисохвост луговой получил от Карла Линнея, отца ботаники, из-за похожести колоса на лисий хвост. Лисохвост луговой был исходно евразийским видом, однако с прошлого столетия его можно встретить на лугах и пастбищах в Северной Америке, в Африке и даже в Австралии. Этот вид легко спутать с тимофеевкой луговой, его двоюродной сестрой по семейству злаковых. Чтобы различить эти виды, нужно внимательно всмотреться в колос: у лисохвоста лугового из каждого маленького колоска выступает ость, длинной примерно 3-5 мм. У тимофеевки остей нет, но есть два маленьких роговидных выроста.";"Луг";"Бесплатная";"881468618";
"84";"Ежа сборная";"Dactylis glomerata";"56a6ad38-098c-4ad0-8224-9bc28c9cd1a2";"Луг";"Июнь - август";"Любители кошек иногда выращивают ежу сборную, чтобы удовлетворить тягу питомцев, любящих погрызть траву. Ежа сборная, пожалуй, один из самых легко определяемых злаков. Их соцветия похожи на сужающуюся к верху метёлку - по ней этот вид легко опознать среди травяного покрова. Растёт ежа сборная по обочинам дорог, на лугах, опушках и пастбищах в Северной Африке, по всей Евразии и Северной Америке, за исключением тропических областей.";"Луг";"Бесплатная";"881468633";
"85";"Овсяница луговая";"Festuca pratensis";"656149de-0683-4fa3-9562-9dcd894ba355";"Луг";"Июнь - август";"Овсяница луговая - одна из основных трав в составе газонов, которые высаживают как в декоративных целях, так и на спортивных стадионах. Ареал овсяницы луговой охватывает всю Евразию, кроме тропических регионов. В Европейской части России этот вид встречается на лугах, опушках, а близ рек может и вовсе доминировать в травостое. Отличить овсяницу от двоюродных братьев по семейству злаковых можно по серповидным «ушам», обхватывающим стебель в месте сочленения с листом. В июне-июле на вершине их цветоноса распускается метёлка с красноватыми колосками.";"Луг";"Бесплатная";"881468634";
"86";"Тысячелистник обыкновенный";"Achillea millefolium";"183866ee-0843-45d6-ac2c-1032a84d2acc";"Луг";"Июнь - август";"Согласно древнегреческим мифам, Ахиллес применял тысячелистник обыкновенный для заживления ран. Отсюда и латинское название растения. Род тысячелистника включает более 150 видов, но самый распространенный из них, пожалуй, тысячелистник обыкновенный. Своё название этот вид получил, потому что его листья рассечены на множество сегментов, которые даже сосчитать сложно. Этот же признак хорошо отличает его от родственников. Ареал тысячелистника обыкновенного покрывает все внетропические регионы Евразии. Его можно встретить как на лугах и опушках, так и на газонах в городе и по обочинам дорог.";"Луг";"Бесплатная";"881468637";
"87";"Манжетка обыкновенная";"Alchemilla vulgaris";"76f5d435-767d-479b-b9ff-76e688b3ef14";"Луг";"Июнь - июль";"Манжетку обыкновенную легко узнать по листьям, похожим на веер с пильчатым краем. Обычно они образуют подобие воронки и вдобавок покрыты плотным слоем восковой кутикулы - эти особенности позволяют манжетке эффективно конденсировать влагу из воздуха и сгонять её к прикорневой области. Встречается манжетка обыкновенная на лугах и опушках по всей Европе и в Сибири до Оби.";"Луг";"Бесплатная";"881468973";
"88";"Колокольчик скученный";"Campanula glomerata";"777b18d2-5b99-4dc8-a727-c88224c9229b";"Луг";"Июнь - август";"Колокольчик скученный растёт практически по всей Евразии, за исключением тропических и арктических областей. Селекционеры вывели множество сортов с разной окраской цветков. Отличительная особенность этого вида заключается в том, что его крупные фиолетовые цветки собраны на верхушке побега в компактное соцветие. Этот признак даже отражён в видовом эпитете растения. А молодые листья этого колокольчика обладают лёгким сладковатым запахом. Встретить колокольчик скученный можно на лугах, по опушкам лесов, а порой и на заброшенных полях.";"Луг";"Бесплатная";"881469217";
"89";"Колокольчик раскидистый";"Campanula patula";"1ac4d03f-4c1b-4eb3-bfdd-dd9df40156b3";"Луг";"Июль";"Колокольчик раскидистый - один из самых широко распространённых видов колокольчиков. Его можно встретить на лугах и опушках, а также в культуре. Колокольчик раскидистый растёт на лугах, по опушкам и в светлых лесах в умеренной полосе Европы. От своих родственников этот вид отличается цветками, которые несколько мельче, а их лепестки рассечены глубже, чем до половины. Цветок из-за этого теряет привычную форму колокола. Кроме того, цветки располагаются на тонких длинных стебельках, из-за соцветие выглядит разбросанным. Отсюда происходит и название этого вида.";"Луг";"Бесплатная";"881469591";
"90";"Василёк луговой";"Centaurea jacea";"cb18a412-a67e-4921-834a-d6c57ed402d4";"Луг";"Июль - август";"Василёк луговой - типичный представитель сухих лугов и степей. Это растение ценится как хороший летний медонос. Василёк луговой, как гласит его видовой эпитет, растёт преимущественно на открытых пространствах: на лугах, опушках, а порой и по обочинам дорог. Встретить его можно в умеренной полосе по всей Европе. Отличить от других видов его можно по лиловым соцветиям-корзинкам со вздутым основанием. Краевые цветки в соцветии более крупные и привлекают опылителей, а половые органы находятся в центральной части корзинки.";"Луг";"Бесплатная";"881470084";
"91";"Василёк фригийский";"Centaurea phrygia";"a5b8179a-7cfa-4f02-bd57-8e035694fb4f";"Луг";"Июль - август";"Василёк фригийский очень нетребователен к условиям: он может расти как на глинистых, так и на песчаных почвах. Также он выдерживает морозы до -25 градусов Цельсия. Имя васильку фригийскому дал ещё Карл Линней по месту сбору образца, который он описывал. Однако этот вид растёт и далеко за пределами Фригии (современной Турции), в странах Южной и Восточной Европы, а также в средней полосе России. От родственников василёк фригийский отличается тем, что верхняя часть его побегов ветвится, и верхушке каждого ответвления распускается яркое розово-фиолетовое соцветия, похожее корзинку василька лугового.";"Луг";"Бесплатная";"881470764";
"92";"Василёк шероховатый";"Centaurea scabiosa";"e32d9a7f-4820-4c18-ab3f-3f80b606073a";"Луг";"Июль - август";"Василёк шероховатый выращивают не только в декоративных целях, но и подсевают его на пашни и сенокосные луга. Василёк шероховатый встречается по всё умеренной зоне Евразии от атлантического до тихоокеанского побережья, однако на Дальнем Востоке считается видом заносным. Отличить его от других видов васильков очень просто по листьям: если у его родственников листья цельные, то у василька шероховатые - рассечённые на множество ланцетовидных долей. А цветки почти такие же как у василька лугового: розово-фиолетовые, собранные в соцветия-корзинки.";"Луг";"Бесплатная";"881470767";
"93";"Цикорий обыкновенный";"Cichorium intybus";"5445df10-0903-49f1-92ec-d33afd748cbe";"Луг";"Июль - октябрь";"Корни и листья цикория обыкновенного содержат до 11 процентов инулина, поэтому его часто используют как суррогат кофе. Ареал цикория обыкновенного сейчас охватывает все континенты, кроме Антаркдиты. Исходно этот вид был европейским, а по всему миру расселился вместе с человеком. Узнать цикорий можно по разветвлённым плотным побегам, на которых созревают по нескольку соцветий-корзинок. Их цвет варьирует от всех оттенков голубого до белого и розового. Встретить цикорий обыкновенный можно на лугах, опушках, обочинах дорог и пустырях.";"Луг";"Бесплатная";"881470773";
"94";"Вероника длиннолистная";"Veronica longifolia";"0d63b34b-0a83-489c-a909-a8b146775241";"Луг";"Июнь - сентябрь
";"В побегах и корневищах вероники длиннолистной содержатся вещества-иридоиды, поэтому её надземные части заготавливают как лекарственное сырьё. От своих родственников вероника длиннолистной отличается листьями, похожими на вытянутый равнобедренный треугольник, и длинными свечкообразными соцветиями - полностью оправдывает своё название. Ареал вероники длиннолистной большую часть Евразии, за исключением тропических и арктических областей. Она тяготеет к влажным местообитанием и в средней полосе России встречается на пойменных лугах. Узнать это растение можно по треугольным листьям и вытянутым коническим соцветиям, похожим на свечки. В природе цветки вероники длиннолистной обычно синего цвета, однако в культуре существуют формы с крайне разнообразной окраской: от белого до розового и тёмно-фиолетового.";"Луг";"Бесплатная";"881470801";
"95";"Герань луговая";"Geranium pratense";"197fe7d4-fe0f-476f-a3c3-c9198e12d04d";"Луг";"Июнь - июль";"Зрелые плоды герани луговой напоминают голову журавля с длинным клювом, из-за чего это растение часто называют в народе журавельником. Ареал герани луговой тянется через всю умеренную зону Евразии: от Испании до Китая, покрывая большую часть территории России. В средней полосе она встречается на лугах, по опушкам лесов, а также зачастую и в городах по пустырям. От своих родственников герань луговая отличается глубоко рассечёнными прикорневыми листьями, доли которых выглядят заострёнными по сравнению с другими видами.";"Луг";"Бесплатная";"881470812";
"96";"Будра плющелистная";"Glechoma hederacea";"eba76e91-8ded-441c-a328-d3d3703ad08f";"Луг";"Июнь - июль
";"В тенистых условиях будра плющевидная ведёт себя как виолент: разрастается и агрессивно вытесняет с территории другие растения. Ареал будры плющевидной охватывает почти всю внетропическую Евразию от её атлантического до тихоокеанского побережья. В России это растение широко известно как собачья мята и растёт обычно в тенистых лесах. У будры плющевидной есть два типа побегов: длинные стелющиеся, которые укореняются в почве, и восходящие, на которых созревают цветки. Узнать этот вид можно по небольшим округлым листочкам с округлым краем.";"Луг";"Бесплатная";"881470816";
"97";"Зверобой продырявленный";"Hypericum maculatum";"5b8813c8-94d8-480f-8508-f1685f996ab1";"Луг";"Июнь - август
";"Экстракт зверобоя продырявленного был одним из основных компонентов в классическом рецепте напитка «Байкал». Зверобой продырявленный встречается в Северной Африке и по всей умеренной полосе Евразии, за исключением некоторых районов Сибири и Дальнего Востока. В средней полосе России растёт по лугам и опушкам, порой даже образует сплошные заросли. Этот вид легко узнать по желтым соцветиям на верхушках жёстких побегов. Стебель обычно с чётко выраженными гранями, листья округлые, растут парами друг напротив друга, с мелкими просвечивающими точками - отсюда и название вида.";"Луг";"Бесплатная";"881470830";
"98";"Нивяник обыкновенный";"Leucanthemum vulgare";"4fadc78f-92e3-41e4-bf77-a95db88f8334";"Луг";"Май - август
";"Нивяник обыкновенный часто ошибочно называют ромашкой. Листья нивяника шириной около 1 см, зубчатые по краю, а у ромашки похожи на укроп. Нивяник обыкновенный часто путают с ромашкой, хотя эти виды легко отличить друг от друга. У нивяника листья элиптические с зубчатым краем, а у ромашки сильно рассечённые, похожие на укроп. Ареал нивяника охватывает всю умеренную зону Евразии, а благодаря человеку этот вид заселился на все материки, кроме Антарктиды. В средней полосе России его можно встретить на лугах, заброшенных полях и пастбищах и по опушкам лесов.";"Луг";"Бесплатная";"881470832";
"99";"Молиния голубая";"Molinia cearulea";"d7851765-f3f9-4380-842d-4ab3cff9af60";"Луг";"Июль - август
";"Корневища молинии голубой обладают высокой устойчивостью к огню, поэтому растение с лёгкостью возобновляется после палов травы. Молиния синяя - двоюродная сестра пшеницы и овса, все эти растения относятся к семейству злаковых. В природе молиния встречается в Северной Африке, Западной Азии и по всей Европе. От родственников её отличает соцветие в виде метёлки из мелких густых колосьев, которые порой отливают синим оттенком. Длинные узкие и жёсткие листья в месте крепления к стеблю образуют кольцо из мелких волосков.";"Луг";"Бесплатная";"881470838";
"100";"Донник белый";"Melilotus albus";"f0d01302-183a-4919-8f83-7b9b7d3b6e6c";"Луг";"Июль - октябрь";"Донник белый образует симбиоз с клубеньковыми бактериями, способными фиксировать азот из воздуха. Для улучшения свойств почв это растение используют в севообороте. Донник белый распространён в умеренной зоне Евразии, а XVII веке попал с колонистами в Северную Америку, где также успешно расселился. В средней полосе России этот вид встречается на лугах и опушках. Выглядит донник белый точь-в-точь как его родственник донник лекарственный: сильно разветвлённые побеги высотой около метра с тройчатыми вытянутыми листьями, отличаются лишь цветками. У донника белого они имеют кремовую или белую окраску.";"Луг";"Бесплатная";"881470847";
"101";"Донник лекарственный";"Melilotus officinalis";"8483008b-c65b-488d-b47e-b773c463de73";"Луг";"Июнь - сентябрь
";"Донник лекарственный - очень ценное растение-медонос. С одного гектара посадок донника пчёлы собирают до 600 кг нектара. Донник лекарственный исходно был европейским видом, однако вместе с человеком расселился по всем континентам, кроме Антарктиды. В средней полосе России встречается повсеместно на лугах, опушках, пустырях и в городах. Порой образует сплошные заросли. По внешнему виду схож с донником белым: сильно разветвлённые побеги с небольшими тройчатыми листьями. Его отличительная черта - жёлтый цветки, собранные на верхушках побегов в кистевидные соцветия.";"Луг";"Бесплатная";"881470849";
"102";"Лапчатка серебристая";"Potentilla argentea";"7dc153c9-d39b-4f7e-aae8-47c596ca5c0a";"Луг";"Май - сентябрь";"Цветки лапчатки серебристой весьма компактные. И их основные опылители отнюдь не шмели и пчёлы, а жуки, мухи и некоторые виды комаров. Исходный ареал лапчатки серебристой охватывает всю умеренную зону Евразии. В средней полосе России она растёт на лугах, опушках, пастбищах, по насыпям железных дорог и пустырям. Несмотря на неприхотливость, этот вид очень декоративен: на небольших нежных стеблях (высотой до 30 см) сидят небольшие жёлтые цветки, похожие на лютики, хотя эти растение даже из разных семейств. Отличительная особенность этого вида - опушение на нижней стороне листа, придающее серебристую окраску.";"Луг";"Бесплатная";"881470852";
"103";"Черноголовка обыкновенная";"Prunella vulgaris.";"44b98c09-c560-4f6e-813f-0a35c943a9c6";"Луг";"Июнь - октябрь
";"Черноголовка обыкновенная растёт не только в парках Москвы, но также встречается на влажных лугах всех материков, кроме Антарктиды (там и лугов нет). Ареал черноголовки обыкновенной охватывает вне тропические регионы северного полушария: от Северной Африки через всю Евразию до Северной Америки. В средней полосе России этот вид встречается по лугам, опушкам, вырубкам, а порой в парках и на неухоженных газонах. От других растений черноголовка обыкновенная отличается вытянутыми листьями, которые сужаются к кончику и сидят друг напротив друга, а также головчатым соцветием из небольших фиолетовых цветков на верхушке.";"Луг";"Бесплатная";"881470866";
"104";"Мыльнянка лекарственная";"Saponaria officinalis";"82eae121-fa6c-4d4c-a60a-24bb32b2e18c";"Луг";"Апрель - август
";"Подземные части мыльнянки обыкновенной широко известны как мыльный корень. Они содержат много сапонинов, из-за чего пенятся в воде. Ареал мыльнянки обыкновенной тянется из Центральной Европы в Среднюю Азию, покрывая большую часть Европейской России и юг Западной Сибири. В средней полосе это растение можно часто встретить на сырых лугах или по берегам рек, а порой и на заброшенных дачах и даже в городах. По внешнему виду мыльнянка похожа на свою двоюродную сестру гвоздику. Только цветки мыльнянки собраны в метёльчатые соцветия и обычно имеют светло-розовую окраску, а листья более широкие.";"Луг";"Бесплатная";"881470868";
"105";"Крестовник Якоба";"Senecio jacobaea";"eb6d1827-08ab-4b7c-a7e7-fe6a15a625d1";"Луг";"Июль - август";"Крестовник Якоба культивируется очень редко, обычно лишь при воссоздании природных ландшафтов, поэтому культурных сортов и гибридов не имеет. Крестовник Якоба растёт по всей умеренной зоне Евразии, начиная от Британских островов и заканчивая Дальним Востоком и Китаем. Как заносное это растение встречается также в Австралии и Северной Америке. Крестовник Якоба выглядит похожим на свою двоюродную сестру пижму: побеги высотой по пояс, в верхней части сильно ветвятся, на верхушке каждого ответвления созревает небольшое соцветие-корзинка. Только у крестовника порой в соцветиях развиты длинные жёлтые язычковые цветки.";"Луг";"Бесплатная";"881470872";
"106";"Пижма обыкновенная";"Tanacetum vulgare";"ee34163a-48b3-492a-b809-bdf8a5341921";"Луг";"Июль - сентябрь
";"В старину цветоносы пижмы обыкновенной сушили и развешивали в домах. Это растение отпугивает различных насекомых своим запахом. Пижма обыкновенная относится к семейству сложноцветных, но в отличии от большинства родственников в её соцветиях-корзинках нет язычковых цветков, привлекающих насекомых. Узнать этот вид можно также по сложным листьям с многочисленными пильчатыми листочками. Ареал пижмы обыкновенной охватывает всю умеренную зону Евразии. В средней полосе России встречается повсеместно: на лугах, опушках, заброшенных полях, пустырях и неухоженных газонах.";"Луг";"Бесплатная";"881470878";
"107";"Вейник остроцветковый";"Calamagrostis x acutiflora";"ee9b7f97-72bf-4a77-8f4d-3a3e16c62e49";"Луг";"Июнь - июль
";"Вейник остроцветковый - очень популярный в озеленении гибрид двух природных видов вейника. Он растёт компактно и не даёт расползающихся корневищ. Вейник остроцветковый образовался в природе путём гибридизации двух естественных видов вейника: тростниковидного и наземного. Оба природных вида и их гибрид растут в лесах, на опушках и по окраинам болот в умеренной зоне Евразии. Вейник остроцветковый приходится двоюродным братом ржи и пшенице - все эти растения относят к семейству злаковых. Вейник можно узнать по относительно широким глянцевым листьям и цветоносом, высотой с человеческий рост, на верхушках которых образуется метёлковидное соцветие из мелких бежевых колосков.";"Луг";"Бесплатная";"881470893";
"108";"Клевер ползучий";"Trifolium repens";"0b75fe94-66a9-48c4-bbe1-ae9f3fd6f5a7";"Луг";"Июнь - июль";"У клевера ползучего есть два типа побегов: стелющиеся, из-за которого растение получило своё название, и прямостоячие, несущие цветки. Клевер ползучий был исходно европейским видом, но в настоящее время натурализовался на всех континентах, кроме Антарктиды. Крайне неприхотливое и выносливое растение, которое можно встретить почти на каждом газоне. Отличить его можно по округлым тройчатым листья, диаметром с 50-копеечную монету, и небольшим шарообразным соцветиям-головкам, в которые собраны вытянутые белые цветки.";"Луг";"Бесплатная";"881470904";
"109";"Клевер луговой";"Trifolium pratense";"230cc09a-769f-442a-8c9d-0e7f197371cb";"Луг";"Июнь - июль";"Нектар из цветков клевера лугового доступен лишь крупным насекомым с длинным хоботком. Под такие параметры попадают пчёлы и шмели. Ареал клевера лугового охватывает всю Евразию от Португалии до Дальнего Востока и заходит в Северную Африку. В России встречается повсеместно на лугах, опушках, вырубках, пустырях, заброшенных полях и по обочинам дорог. От других видов клевер луговой отличается относительно невысокими побегами (около 30 см) и слегка вытянутыми эллиптическими листьями с ярко выраженной светлой «галочкой» в центре листовой пластинки.";"Луг";"Бесплатная";"881470906";
"110";"Гусиный лук жёлтый";"Gagea lutea";"3248c604-360e-4277-9394-09c1755b092d";"Луг";"Июнь";"Листья гусиного лука жёлтого обладают резким запахом из-за чесночных эфирных масел. Иногда их для пикантности добавляют в салаты. Гусиный лук жёлтый - приметное раннее весеннее растение с красивыми жёлтыми цветками. В апреле-мае его листья легко отличаются от других трав ярко-зелёной окраской. Среди узких длинных листьев в середине апреля можно найти тонкие цветоносы с яркими жёлтыми шестилепестными цветками. Встретить это растение можно на лугах, опушках, по вырубкам, а порой и в городских парках. В природе распространено по всей Европе, в Сибири и на Дальнем Востоке.";"Луг";"Бесплатная";"881470912";
"111";"Колосняк гигантский";"Elymus giganteum";"649022aa-da85-467d-b0ca-f24b55fa2459";"Степь";"Июль";"Колосняк гигантский не выдерживает переувлажнения и растёт исключительно в сухих почвах. Его можно увидеть даже на песчаных дюнах Монголии. Ареал колосняка гиганстского охватывает черноземную полосу России, Украины и заходит в полупустыни Средней Азии. Кроме того, этот вид натурализовался в Северной Америке и в Новой Зеландии. Колосняк гигантский не такой огромный, как некоторые его родственники по семейству, его высота не превышает полутора метров, в то время как кукуруза может вырастать выше человека. Узнать этот вид можно по широким линейным листьям сочно-зелёного цвета.";"Степь";"Бесплатная";"881470930";
"112";"Ветреница лесная";"Anemone sylvestris";"ddb270de-1988-4afe-80e5-cf782f0e0e2d";"Степь";"Май - июнь
";"Ветреница лесная - один из самых поздно цветущих первоцветов. Она начинает цвести в мае, когда на деревьях распускаются листья. Ветреница лесная растёт во Франции, Германии, а затем её ареал протягивается на восток через всю умеренную зону России до северных окраин Китая. Этот вид очень поход на ветреницу дубравную: крупные белые цветки, немногочисленные сильно рассечённые листья. Только ветреница лесная отличается тем, что в её венчике лишь 5 более округлых лепестков зачастую с махровым краем, и цветёт она позже своих родственников.";"Степь";"Бесплатная";"881470946";
"113";"Полынь понтийская";"Arthemisia pontica";"3131a909-9872-464b-9b36-54c21ba36d19";"Степь";"Июль - август
";"Листья полыни понтийской содержат множество ароматических веществ, среди которых цинеол и камфора. Это растение используют в производстве вермутов для придания горчинки. Ареал полыни понтийской протягивается от атлантического побережья Европы до северных окраин Китая, захватывая степную зону Европейской России и южные районы Сибири. Этот вид полыни отличается более тонким стеблем, мягким опушением листьев с нижней стороны, придающим белёсый оттенок, и более узкими листьями в целом. Встречается полынь понтийская на не слишком тяжёлых и не слишком влажных в почвах, а порой растёт даже по обочинам дорогам.";"Степь";"Бесплатная";"881470950";
"114";"Василёк русский";"Centaurea ruthenica";"9471d1e8-efd8-409d-a72d-6ecf8405e172";"Степь";"Июль - август
";"Василёк русский - довольно редкий вид васильков, приуроченный к степям. Во многих субъектах Российской Федерации он занесён в Красные Книги. Василёк русский - один из типичных представителей степной зоны России. Его ареал протягивается по карте полумесяцем от Южной Европы через Кавказ и Южный Урал в страны Средней Азии. От других видов василька его легко отличить по соцветиям нежно-кремового цвета, распускающимся в июле. Встретить его можно на лугах, в кустарниковых зарослях и даже на крутых каменистых склонах.";"Степь";"Бесплатная";"881470952";
"115";"Мордовник обыкновенный";"Echinops ritro";"97e9eb20-377d-42df-88c5-3f54818d8f47";"Степь";"Июль - август
";"Листья, стебли и соцветия мордовника обыкновенного красивые и достаточно жёсткие. За эти качества растение используют во флористике как сухоцвет. Ареал мордовника обыкновенного тянется от атлантического побережья Евразии через страны Южной и Восточной Европы до тихоокеанского побережья в Китае, захватывая чернозёмную полосу России, Южный Урал и некоторые районы Сибири. От одуванчиков и цикориев, своих двоюродных братьев, мордовник отличается крупными рассечёнными листьями с острыми зубчиками по краю и ярко-синим шарообразным соцветием.";"Степь";"Бесплатная";"881470954";
"116";"Молочай кипарисовый";"Euphorbia cyparissias";"b03d8a4b-c4c2-4d19-bcc6-53e3f05bea63";"Степь";"Май - июнь
";"Молочай кипарисовый появился в Европе в бронзовом веке и активно распространился как заносный вид вслед за человеком. Исконно южно-европейское растение, молочай кипарисовый расселился в бронзовом веке по всей Европе, включая южные районы Европейской России. Его ареал лишь чуть-чуть заходит в Азию в районе Турции. От других видов его отличить легко по своеобразным побегам, которые внешне напоминают веточки сосны. В начале лета на вершине побегов созревает около 10 цветоносов длиной со спичку, на каждом из которых образуется маленький цветок, похожий на раскрывшуюся розу, диаметром с копеечную монету.";"Степь";"Бесплатная";"881470956";
"117";"Ирис безлистный";"Iris aphylla";"4eeb0df2-6778-46fb-85df-3cc0325e2ebe";"Степь";"Май - июнь";"Ирис безлистный чрезвычайно редкое растение и встретить его в природе большая удача. Растёт он в степях, что не очень свойственно ирисам. Ирис безлистный многолетнее травянистое растение с ползучим корневищем, достигающее в высоту 50 см. Стебли прямостоячие, выше основания разветвленные. Прикорневые листья линейно-мечевидные, широкие, стеблевые, немногочисленные, по мере приближения к цветку уменьшаются в размере. К зиме листья полностью опадают, поэтому вид был назван безлистным. Цветки крупные ярко-фиолетовые располагаются по 2 на длинных цветоносах. Произрастает по всей Европе от Атлантического побережья до Волги на востоке.";"Степь";"Бесплатная";"881470962";
"118";"Тонконог гребенчатый";"Koeleria cristata";"0bd6e0f7-b9d4-422a-9bd0-817fdc382c77";"Степь";"Май - июль
";"Тонконог крупноцветковый - устойчивое к стрижке и умеренным засухам растение. Его часто используют как покрытие площадок для гольфа. Тонконог крупноцветковый или тонконог монгольский - многолетнее травянистое растение образующее плотные дерновники. Стебли растения высотой 15-35 см опушенные под узлами. Пластинки листьев жесткие и свернутые с обоих сторон шероховатые, покрытые редкими волосками. Зеленоватые блестящие метелки состоят из многочисленных колосков 3-4 мм длиной. Растет на песчаных и пустынно-степных склонах, в степях и на сухих лугах.";"Степь";"Бесплатная";"881470964";
"119";"Лён многолетний";"Linum perenne";"55484b0d-6c40-418c-a367-03516e4617d2";"Степь";"Июнь - июль
";"Лён многолетний, в отличие от льна обыкновенного, не пригоден для производства ткани. Его часто используют как декоративное растение. Лен многолетний - сильноветвистое травянистое растение высотой до метра. Стебли тонкие, цветоносные, в верхней части обычно разветвленные, нижние ветви стерильные. Расположенные в очередном порядке тонкие листья напоминают иглы. У льна многолетнего маленькие, до 2 см, бледно-голубые цветки. Он очень схож с льном австрийским, что иной раз затрудняет их систематизацию. Встречается в степной зоне, на луговых склонах, горных лугах, часто на выходах известняка на юге европейской части России, Средней Азии и в Сибири, что отличает его от льна австрийского, не заходящего далеко на север.";"Степь";"Бесплатная";"881470968";
